Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Sándor Tibor,2023-05-08 00:00,0,0
Sándor Tibor,2023-05-08 01:00,0,0
Sándor Tibor,2023-05-08 02:00,0,0
Sándor Tibor,2023-05-08 03:00,0,0
Sándor Tibor,2023-05-08 04:00,0,0
Sándor Tibor,2023-05-08 05:00,0,0
Sándor Tibor,2023-05-08 05:15,2.4,0
Sándor Tibor,2023-05-08 05:30,89.2,0
Sándor Tibor,2023-05-08 05:45,186.59999,0
Sándor Tibor,2023-05-08 06:00,267.4,0
Sándor Tibor,2023-05-08 06:15,476.50003,0
Sándor Tibor,2023-05-08 06:30,681.6,0
Sándor Tibor,2023-05-08 06:45,851.19995,0
Sándor Tibor,2023-05-08 07:00,927.89996,0
Sándor Tibor,2023-05-08 07:15,1561.8,0
Sándor Tibor,2023-05-08 07:30,2413.9,0
Sándor Tibor,2023-05-08 07:45,2346.0999,0
Sándor Tibor,2023-05-08 08:00,2613.8997,0
Sándor Tibor,2023-05-08 08:15,1966.3999,0
Sándor Tibor,2023-05-08 08:30,1837.6001,0
Sándor Tibor,2023-05-08 08:45,1598.1,0
Sándor Tibor,2023-05-08 09:00,1797.5,0
Sándor Tibor,2023-05-08 09:15,2023.5,0
Sándor Tibor,2023-05-08 09:30,2197.9001,0
Sándor Tibor,2023-05-08 09:45,2394.6,0
Sándor Tibor,2023-05-08 10:00,3214.1,0
Sándor Tibor,2023-05-08 10:15,3874.1997,0
Sándor Tibor,2023-05-08 10:30,4298.4,0
Sándor Tibor,2023-05-08 10:45,4956.9995,0
Sándor Tibor,2023-05-08 11:00,4448.8,0
Sándor Tibor,2023-05-08 11:15,4546.3,0
Sándor Tibor,2023-05-08 11:30,5357.0996,0
Sándor Tibor,2023-05-08 11:45,6677.1,0
Sándor Tibor,2023-05-08 12:00,7728.8,0
Sándor Tibor,2023-05-08 12:15,8732.699,0
Sándor Tibor,2023-05-08 12:30,7938.0996,0
Sándor Tibor,2023-05-08 12:45,7555.3003,0
Sándor Tibor,2023-05-08 13:00,6747.0005,0
Sándor Tibor,2023-05-08 13:15,8166.8,0
Sándor Tibor,2023-05-08 13:30,4719.7,0
Sándor Tibor,2023-05-08 13:45,4143.0,0
Sándor Tibor,2023-05-08 14:00,10763.9,0
Sándor Tibor,2023-05-08 14:15,10604.3,0
Sándor Tibor,2023-05-08 14:30,4332.0,0
Sándor Tibor,2023-05-08 14:45,7932.9004,0
Sándor Tibor,2023-05-08 15:00,5192.8003,0
Sándor Tibor,2023-05-08 15:15,3386.2998,0
Sándor Tibor,2023-05-08 15:30,8631.5,0
Sándor Tibor,2023-05-08 15:45,6852.2,0
Sándor Tibor,2023-05-08 16:00,5169.9,0
Sándor Tibor,2023-05-08 16:15,7245.8994,0
Sándor Tibor,2023-05-08 16:30,5575.3,0
Sándor Tibor,2023-05-08 16:45,4981.6,0
Sándor Tibor,2023-05-08 17:00,4582.0,0
Sándor Tibor,2023-05-08 17:15,3558.3,0
Sándor Tibor,2023-05-08 17:30,3570.7002,0
Sándor Tibor,2023-05-08 17:45,3353.5,0
Sándor Tibor,2023-05-08 18:00,2584.7998,0
Sándor Tibor,2023-05-08 18:15,1825.1,0
Sándor Tibor,2023-05-08 18:30,1048.9,0
Sándor Tibor,2023-05-08 18:45,1093.4,0
Sándor Tibor,2023-05-08 19:00,606.8,0
Sándor Tibor,2023-05-08 19:15,524.5,0
Sándor Tibor,2023-05-08 19:30,297.0,0
Sándor Tibor,2023-05-08 19:45,175.8,0
Sándor Tibor,2023-05-08 20:00,71.5,0
Sándor Tibor,2023-05-08 20:15,6.1000004,0
Sándor Tibor,2023-05-08 20:30,1.3,0
Sándor Tibor,2023-05-08 21:30,0,0
Sándor Tibor,2023-05-08 22:30,0,0
Sándor Tibor,2023-05-08 23:30,0,0
Sándor Tibor,2023-05-08 00:30,0,0
Sándor Tibor,2023-05-08 01:30,0,0
Sándor Tibor,2023-05-08 02:30,0,0
Sándor Tibor,2023-05-08 03:30,0,0
Sándor Tibor,2023-05-08 04:30,0,0
