Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Sándor Tibor,2023-05-09 00:00,0,0
Sándor Tibor,2023-05-09 01:00,0,0
Sándor Tibor,2023-05-09 02:00,0,0
Sándor Tibor,2023-05-09 03:00,0,0
Sándor Tibor,2023-05-09 04:00,0,0
Sándor Tibor,2023-05-09 05:00,0,0
Sándor Tibor,2023-05-09 05:15,25.400002,0
Sándor Tibor,2023-05-09 05:30,82.69999,0
Sándor Tibor,2023-05-09 05:45,241.7,0
Sándor Tibor,2023-05-09 06:00,276.59998,0
Sándor Tibor,2023-05-09 06:15,443.7,0
Sándor Tibor,2023-05-09 06:30,574.89996,0
Sándor Tibor,2023-05-09 06:45,737.5,0
Sándor Tibor,2023-05-09 07:00,1107.3,0
Sándor Tibor,2023-05-09 07:15,1338.7001,0
Sándor Tibor,2023-05-09 07:30,1422.4,0
Sándor Tibor,2023-05-09 07:45,1928.3999,0
Sándor Tibor,2023-05-09 08:00,3550.5999,0
Sándor Tibor,2023-05-09 08:15,2297.2,0
Sándor Tibor,2023-05-09 08:30,2754.7998,0
Sándor Tibor,2023-05-09 08:45,2976.3,0
Sándor Tibor,2023-05-09 09:00,2635.9001,0
Sándor Tibor,2023-05-09 09:15,3091.6,0
Sándor Tibor,2023-05-09 09:30,8609.6,0
Sándor Tibor,2023-05-09 09:45,9541.8,0
Sándor Tibor,2023-05-09 10:00,9581.301,0
Sándor Tibor,2023-05-09 10:15,10471.199,0
Sándor Tibor,2023-05-09 10:30,10522.6,0
Sándor Tibor,2023-05-09 10:45,11393.7,0
Sándor Tibor,2023-05-09 11:00,11474.9,0
Sándor Tibor,2023-05-09 11:15,10996.0,0
Sándor Tibor,2023-05-09 11:30,9517.5,0
Sándor Tibor,2023-05-09 11:45,11662.301,0
Sándor Tibor,2023-05-09 12:00,9737.2,0
Sándor Tibor,2023-05-09 12:15,11686.1,0
Sándor Tibor,2023-05-09 12:30,11341.501,0
Sándor Tibor,2023-05-09 12:45,11348.5,0
Sándor Tibor,2023-05-09 13:00,11375.7,0
Sándor Tibor,2023-05-09 13:15,10936.501,0
Sándor Tibor,2023-05-09 13:30,10918.299,0
Sándor Tibor,2023-05-09 13:45,10462.6,0
Sándor Tibor,2023-05-09 14:00,10493.0,0
Sándor Tibor,2023-05-09 14:15,9280.2,0
Sándor Tibor,2023-05-09 14:30,10136.5,0
Sándor Tibor,2023-05-09 14:45,10372.4,0
Sándor Tibor,2023-05-09 15:00,9785.9,0
Sándor Tibor,2023-05-09 15:15,8916.1,0
Sándor Tibor,2023-05-09 15:30,9568.3,0
Sándor Tibor,2023-05-09 15:45,2275.2,0
Sándor Tibor,2023-05-09 16:00,8725.1,0
Sándor Tibor,2023-05-09 16:15,3485.2002,0
Sándor Tibor,2023-05-09 16:30,7205.0,0
Sándor Tibor,2023-05-09 16:45,2605.8,0
Sándor Tibor,2023-05-09 17:00,5476.0,0
Sándor Tibor,2023-05-09 17:15,4548.8,0
Sándor Tibor,2023-05-09 17:30,4305.0,0
Sándor Tibor,2023-05-09 17:45,3460.3997,0
Sándor Tibor,2023-05-09 18:00,2987.3,0
Sándor Tibor,2023-05-09 18:15,2332.2998,0
Sándor Tibor,2023-05-09 18:30,780.00006,0
Sándor Tibor,2023-05-09 18:45,1168.3,0
Sándor Tibor,2023-05-09 19:00,1280.2,0
Sándor Tibor,2023-05-09 19:15,708.9,0
Sándor Tibor,2023-05-09 19:30,286.30002,0
Sándor Tibor,2023-05-09 19:45,187.09999,0
Sándor Tibor,2023-05-09 20:00,104.1,0
Sándor Tibor,2023-05-09 20:15,25.7,0
Sándor Tibor,2023-05-09 20:30,1.7,0
Sándor Tibor,2023-05-09 21:30,0,0
Sándor Tibor,2023-05-09 22:30,0,0
Sándor Tibor,2023-05-09 23:30,0,0
Sándor Tibor,2023-05-09 00:30,0,0
Sándor Tibor,2023-05-09 01:30,0,0
Sándor Tibor,2023-05-09 02:30,0,0
Sándor Tibor,2023-05-09 03:30,0,0
Sándor Tibor,2023-05-09 04:30,0,0
