Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Sándor Tibor,2023-05-02 00:00,0,0
Sándor Tibor,2023-05-02 01:00,0,0
Sándor Tibor,2023-05-02 02:00,0,0
Sándor Tibor,2023-05-02 03:00,0,0
Sándor Tibor,2023-05-02 04:00,0,0
Sándor Tibor,2023-05-02 05:00,0,0
Sándor Tibor,2023-05-02 05:30,1.7,0
Sándor Tibor,2023-05-02 05:45,87.79999,0
Sándor Tibor,2023-05-02 06:00,286.8,0
Sándor Tibor,2023-05-02 06:15,471.80002,0
Sándor Tibor,2023-05-02 06:30,791.2,0
Sándor Tibor,2023-05-02 06:45,1006.99994,0
Sándor Tibor,2023-05-02 07:00,797.2,0
Sándor Tibor,2023-05-02 07:15,1303.3,0
Sándor Tibor,2023-05-02 07:30,1922.5,0
Sándor Tibor,2023-05-02 07:45,1621.3,0
Sándor Tibor,2023-05-02 08:00,1296.8,0
Sándor Tibor,2023-05-02 08:15,1548.5,0
Sándor Tibor,2023-05-02 08:30,2223.4001,0
Sándor Tibor,2023-05-02 08:45,4586.5996,0
Sándor Tibor,2023-05-02 09:00,6022.9004,0
Sándor Tibor,2023-05-02 09:15,5325.7,0
Sándor Tibor,2023-05-02 09:30,3961.2002,0
Sándor Tibor,2023-05-02 09:45,4505.4,0
Sándor Tibor,2023-05-02 10:00,9154.199,0
Sándor Tibor,2023-05-02 10:15,8783.2,0
Sándor Tibor,2023-05-02 10:30,9013.5,0
Sándor Tibor,2023-05-02 10:45,9728.801,0
Sándor Tibor,2023-05-02 11:00,9923.399,0
Sándor Tibor,2023-05-02 11:15,9262.1,0
Sándor Tibor,2023-05-02 11:30,9264.0,0
Sándor Tibor,2023-05-02 11:45,9219.9,0
Sándor Tibor,2023-05-02 12:00,9333.601,0
Sándor Tibor,2023-05-02 12:15,9100.7,0
Sándor Tibor,2023-05-02 12:30,9074.5,0
Sándor Tibor,2023-05-02 12:45,9465.1,0
Sándor Tibor,2023-05-02 13:00,8706.9,0
Sándor Tibor,2023-05-02 13:15,4730.0,0
Sándor Tibor,2023-05-02 13:30,9855.4,0
Sándor Tibor,2023-05-02 13:45,7689.9004,0
Sándor Tibor,2023-05-02 14:00,10465.5,0
Sándor Tibor,2023-05-02 14:15,9774.1,0
Sándor Tibor,2023-05-02 14:30,8642.1,0
Sándor Tibor,2023-05-02 14:45,7694.4,0
Sándor Tibor,2023-05-02 15:00,6379.7,0
Sándor Tibor,2023-05-02 15:15,6054.4995,0
Sándor Tibor,2023-05-02 15:30,5139.7,0
Sándor Tibor,2023-05-02 15:45,4339.8,0
Sándor Tibor,2023-05-02 16:00,4011.1003,0
Sándor Tibor,2023-05-02 16:15,1940.7,0
Sándor Tibor,2023-05-02 16:30,1541.2,0
Sándor Tibor,2023-05-02 16:45,1918.1,0
Sándor Tibor,2023-05-02 17:00,1998.6001,0
Sándor Tibor,2023-05-02 17:15,1403.9001,0
Sándor Tibor,2023-05-02 17:30,805.10004,0
Sándor Tibor,2023-05-02 17:45,818.5,0
Sándor Tibor,2023-05-02 18:00,885.2,0
Sándor Tibor,2023-05-02 18:15,712.80005,0
Sándor Tibor,2023-05-02 18:30,507.0,0
Sándor Tibor,2023-05-02 18:45,167.4,0
Sándor Tibor,2023-05-02 19:00,135.2,0
Sándor Tibor,2023-05-02 19:15,124.4,0
Sándor Tibor,2023-05-02 19:30,71.899994,0
Sándor Tibor,2023-05-02 19:45,7.1,0
Sándor Tibor,2023-05-02 20:00,1.5,0
Sándor Tibor,2023-05-02 21:00,0,0
Sándor Tibor,2023-05-02 22:00,0,0
Sándor Tibor,2023-05-02 23:00,0,0
