Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Sándor Tibor,2023-05-01 00:00,0,0
Sándor Tibor,2023-05-01 01:00,0,0
Sándor Tibor,2023-05-01 02:00,0,0
Sándor Tibor,2023-05-01 03:00,0,0
Sándor Tibor,2023-05-01 04:00,0,0
Sándor Tibor,2023-05-01 05:00,0,0
Sándor Tibor,2023-05-01 05:30,56.100002,0
Sándor Tibor,2023-05-01 05:45,147.09999,0
Sándor Tibor,2023-05-01 06:00,315.5,0
Sándor Tibor,2023-05-01 06:15,311.5,0
Sándor Tibor,2023-05-01 06:30,359.50003,0
Sándor Tibor,2023-05-01 06:45,854.7999,0
Sándor Tibor,2023-05-01 07:00,911.99994,0
Sándor Tibor,2023-05-01 07:15,1043.6,0
Sándor Tibor,2023-05-01 07:30,1240.9,0
Sándor Tibor,2023-05-01 07:45,1175.3,0
Sándor Tibor,2023-05-01 08:00,1347.1,0
Sándor Tibor,2023-05-01 08:15,1990.6,0
Sándor Tibor,2023-05-01 08:30,2126.4,0
Sándor Tibor,2023-05-01 08:45,2016.3,0
Sándor Tibor,2023-05-01 09:00,1898.3999,0
Sándor Tibor,2023-05-01 09:15,4833.5,0
Sándor Tibor,2023-05-01 09:30,3848.1,0
Sándor Tibor,2023-05-01 09:45,2721.8,0
Sándor Tibor,2023-05-01 10:00,4888.8,0
Sándor Tibor,2023-05-01 10:15,3513.0996,0
Sándor Tibor,2023-05-01 10:30,4207.5996,0
Sándor Tibor,2023-05-01 10:45,5255.0,0
Sándor Tibor,2023-05-01 11:00,8853.7,0
Sándor Tibor,2023-05-01 11:15,5408.7,0
Sándor Tibor,2023-05-01 11:30,4433.2,0
Sándor Tibor,2023-05-01 11:45,3547.4,0
Sándor Tibor,2023-05-01 12:00,8674.101,0
Sándor Tibor,2023-05-01 12:15,12234.4,0
Sándor Tibor,2023-05-01 12:30,11218.3,0
Sándor Tibor,2023-05-01 12:45,11246.001,0
Sándor Tibor,2023-05-01 13:00,10696.001,0
Sándor Tibor,2023-05-01 13:15,9947.9,0
Sándor Tibor,2023-05-01 13:30,10410.2,0
Sándor Tibor,2023-05-01 13:45,10961.199,0
Sándor Tibor,2023-05-01 14:00,9519.6,0
Sándor Tibor,2023-05-01 14:15,8811.5,0
Sándor Tibor,2023-05-01 14:30,6903.8,0
Sándor Tibor,2023-05-01 14:45,8068.1006,0
Sándor Tibor,2023-05-01 15:00,8469.4,0
Sándor Tibor,2023-05-01 15:15,7973.6,0
Sándor Tibor,2023-05-01 15:30,8758.2,0
Sándor Tibor,2023-05-01 15:45,3330.0,0
Sándor Tibor,2023-05-01 16:00,2982.9,0
Sándor Tibor,2023-05-01 16:15,6787.6997,0
Sándor Tibor,2023-05-01 16:30,6042.5996,0
Sándor Tibor,2023-05-01 16:45,5312.2,0
Sándor Tibor,2023-05-01 17:00,4737.9,0
Sándor Tibor,2023-05-01 17:15,3567.0,0
Sándor Tibor,2023-05-01 17:30,3024.9998,0
Sándor Tibor,2023-05-01 17:45,2549.3,0
Sándor Tibor,2023-05-01 18:00,1785.4,0
Sándor Tibor,2023-05-01 18:15,1407.7,0
Sándor Tibor,2023-05-01 18:30,1136.2999,0
Sándor Tibor,2023-05-01 18:45,878.89996,0
Sándor Tibor,2023-05-01 19:00,667.80005,0
Sándor Tibor,2023-05-01 19:15,412.59998,0
Sándor Tibor,2023-05-01 19:30,234.2,0
Sándor Tibor,2023-05-01 19:45,99.899994,0
Sándor Tibor,2023-05-01 20:00,21.8,0
Sándor Tibor,2023-05-01 20:15,1.2,0
Sándor Tibor,2023-05-01 21:15,0,0
Sándor Tibor,2023-05-01 22:15,0,0
Sándor Tibor,2023-05-01 23:15,0,0
Sándor Tibor,2023-05-01 00:15,0,0
Sándor Tibor,2023-05-01 01:15,0,0
Sándor Tibor,2023-05-01 02:15,0,0
Sándor Tibor,2023-05-01 03:15,0,0
Sándor Tibor,2023-05-01 04:15,0,0
Sándor Tibor,2023-05-01 05:15,0.0,0
